6107000000	4.16E+00	2.65E+01	6107000000	4.12E+00	2.52E+01	3.80E+00	2.96E+01
6107005000	4.14E+00	2.64E+01	6107001250	4.14E+00	2.50E+01	3.90E+00	2.97E+01
6107010000	4.13E+00	2.63E+01	6107002500	4.12E+00	2.53E+01	3.70E+00	2.85E+01
6107015000	4.16E+00	2.63E+01	6107003750	4.10E+00	2.53E+01	3.80E+00	2.95E+01
6107020000	4.15E+00	2.63E+01	6107005000	4.19E+00	2.51E+01	3.77E+00	2.89E+01
6107025000	4.15E+00	2.61E+01	6107006250	4.14E+00	2.52E+01	3.80E+00	2.89E+01
6107030000	4.17E+00	2.62E+01	6107007500	4.12E+00	2.52E+01	3.67E+00	2.84E+01
6107035000	4.16E+00	2.60E+01	6107008750	4.14E+00	2.49E+01	3.81E+00	2.99E+01
6107040000	4.17E+00	2.59E+01	6107010000	4.12E+00	2.45E+01	3.84E+00	2.95E+01
6107045000	4.14E+00	2.59E+01	6107011250	4.12E+00	2.52E+01	3.76E+00	2.77E+01
6107050000	4.16E+00	2.58E+01	6107012500	4.13E+00	2.50E+01	3.73E+00	2.94E+01
6107055000	4.15E+00	2.57E+01	6107013750	4.11E+00	2.52E+01	3.73E+00	2.81E+01
6107060000	4.15E+00	2.56E+01	6107015000	4.14E+00	2.50E+01	3.71E+00	2.83E+01
6107065000	4.16E+00	2.57E+01	6107016250	4.13E+00	2.51E+01	3.52E+00	2.81E+01
6107070000	4.15E+00	2.56E+01	6107017500	4.14E+00	2.47E+01	3.72E+00	2.76E+01
6107075000	4.16E+00	2.56E+01	6107018750	4.12E+00	2.51E+01	3.90E+00	2.82E+01
6107080000	4.18E+00	2.55E+01	6107020000	4.16E+00	2.49E+01	3.95E+00	3.01E+01
6107085000	4.16E+00	2.54E+01	6107021250	4.12E+00	2.48E+01	3.79E+00	2.72E+01
6107090000	4.18E+00	2.54E+01	6107022500	4.16E+00	2.51E+01	3.88E+00	2.89E+01
6107095000	4.17E+00	2.53E+01	6107023750	4.09E+00	2.48E+01	3.64E+00	2.87E+01
6107100000	4.18E+00	2.52E+01	6107025000	4.17E+00	2.48E+01	3.79E+00	2.85E+01
6107105000	4.19E+00	2.50E+01	6107026250	4.13E+00	2.47E+01	3.73E+00	2.83E+01
6107110000	4.17E+00	2.51E+01	6107027500	4.12E+00	2.47E+01	3.73E+00	2.79E+01
6107115000	4.18E+00	2.50E+01	6107028750	4.12E+00	2.51E+01	3.79E+00	2.94E+01
