0.000000
5.832
0.000000
0.000000
-20.000
0.0000
0.0000
0.0000
400
100
5832172720.000	2.846	65.459
5832187720.000	2.870	64.675
5832202720.000	2.899	63.814
5832217720.000	2.927	62.863
5832232720.000	2.960	61.806
5832247720.000	2.997	60.585
5832262720.000	3.036	59.138
5832277720.000	3.076	57.462
5832292720.000	3.117	55.427
5832307720.000	3.155	52.894
5832322720.000	3.181	49.653
5832337720.000	3.165	45.363
5832352720.000	3.058	39.365
5832367720.000	2.704	30.899
5832382720.000	1.762	18.536
5832397720.000	-0.695	1.209
5832412720.000	-7.704	-19.647
5832427720.000	-15.180	120.760
5832442720.000	-4.799	109.323
5832457720.000	-2.044	99.377
5832472720.000	-0.764	93.058
5832487720.000	-0.037	88.704
5832502720.000	0.426	85.492
5832517720.000	0.745	83.009
5832532720.000	0.980	81.034
5832547720.000	1.159	79.417
5832562720.000	1.295	78.034
5832577720.000	1.403	76.829
5832592720.000	1.495	75.799
5832607720.000	1.574	74.855
5832622720.000	1.636	74.038
5832637720.000	1.689	73.250
5832652720.000	1.737	72.552
5832667720.000	1.778	71.921
5832682720.000	1.816	71.280
5832697720.000	1.848	70.730
5832712720.000	1.875	70.184
5832727720.000	1.904	69.676
5832742720.000	1.927	69.176
5832757720.000	1.949	68.710
5832772720.000	1.968	68.267
5832787720.000	1.984	67.835
5832802720.000	2.001	67.385
5832817720.000	2.016	66.980
5832832720.000	2.031	66.604
5832847720.000	2.045	66.222
5832862720.000	2.055	65.812
5832877720.000	2.067	65.452
5832892720.000	2.076	65.090
5832907720.000	2.087	64.733
5832922720.000	2.094	64.391
5832937720.000	2.105	64.041
5832952720.000	2.115	63.702
5832967720.000	2.120	63.368
5832982720.000	2.127	63.028
5832997720.000	2.135	62.720
5833012720.000	2.142	62.392
5833027720.000	2.148	62.075
5833042720.000	2.154	61.759
5833057720.000	2.159	61.439
5833072720.000	2.164	61.148
5833087720.000	2.168	60.832
5833102720.000	2.175	60.536
5833117720.000	2.178	60.243
5833132720.000	2.184	59.933
5833147720.000	2.187	59.633
5833162720.000	2.191	59.332
5833177720.000	2.196	59.054
5833192720.000	2.199	58.770
5833207720.000	2.203	58.476
5833222720.000	2.207	58.186
5833237720.000	2.210	57.895
5833252720.000	2.212	57.616
5833267720.000	2.217	57.318
5833282720.000	2.219	57.046
5833297720.000	2.222	56.755
5833312720.000	2.226	56.500
5833327720.000	2.228	56.217
5833342720.000	2.229	55.929
5833357720.000	2.233	55.649
5833372720.000	2.236	55.362
5833387720.000	2.237	55.101
5833402720.000	2.241	54.817
5833417720.000	2.243	54.556
5833432720.000	2.243	54.276
5833447720.000	2.247	54.024
5833462720.000	2.248	53.734
5833477720.000	2.249	53.472
5833492720.000	2.254	53.195
5833507720.000	2.255	52.921
5833522720.000	2.255	52.658
5833537720.000	2.258	52.394
5833552720.000	2.261	52.118
5833567720.000	2.262	51.859
5833582720.000	2.264	51.588
5833597720.000	2.265	51.325
5833612720.000	2.266	51.059
5833627720.000	2.268	50.785
5833642720.000	2.272	50.530
5833657720.000	2.272	50.265
5833672720.000	2.272	50.010
5833687720.000	2.275	49.734
5833702720.000	2.275	49.480
5833717720.000	2.276	49.218
5833732720.000	2.278	48.945
5833747720.000	2.280	48.692
5833762720.000	2.282	48.429
5833777720.000	2.284	48.159
5833792720.000	2.282	47.920
5833807720.000	2.282	47.656
5833822720.000	2.287	47.378
5833837720.000	2.286	47.125
5833852720.000	2.288	46.874
5833867720.000	2.289	46.605
5833882720.000	2.287	46.344
5833897720.000	2.291	46.088
5833912720.000	2.292	45.841
5833927720.000	2.291	45.571
5833942720.000	2.294	45.312
5833957720.000	2.294	45.080
5833972720.000	2.296	44.800
5833987720.000	2.295	44.548
5834002720.000	2.296	44.278
5834017720.000	2.298	44.016
5834032720.000	2.300	43.762
5834047720.000	2.299	43.517
5834062720.000	2.301	43.270
5834077720.000	2.302	43.009
5834092720.000	2.302	42.742
5834107720.000	2.303	42.493
5834122720.000	2.303	42.236
5834137720.000	2.306	41.983
5834152720.000	2.304	41.720
5834167720.000	2.307	41.458
5834182720.000	2.310	41.216
5834197720.000	2.310	40.969
5834212720.000	2.309	40.699
5834227720.000	2.309	40.443
5834242720.000	2.310	40.189
5834257720.000	2.311	39.940
5834272720.000	2.313	39.668
5834287720.000	2.309	39.432
5834302720.000	2.312	39.173
5834317720.000	2.314	38.918
5834332720.000	2.314	38.666
5834347720.000	2.314	38.410
5834362720.000	2.314	38.152
5834377720.000	2.315	37.915
5834392720.000	2.317	37.656
5834407720.000	2.317	37.394
5834422720.000	2.318	37.134
5834437720.000	2.320	36.885
5834452720.000	2.317	36.625
5834467720.000	2.318	36.376
5834482720.000	2.321	36.130
5834497720.000	2.321	35.862
5834512720.000	2.320	35.635
5834527720.000	2.320	35.369
5834542720.000	2.322	35.114
5834557720.000	2.324	34.870
5834572720.000	2.323	34.614
5834587720.000	2.323	34.358
5834602720.000	2.325	34.109
5834617720.000	2.324	33.864
5834632720.000	2.326	33.606
5834647720.000	2.325	33.357
5834662720.000	2.324	33.117
5834677720.000	2.325	32.855
5834692720.000	2.327	32.606
5834707720.000	2.328	32.343
5834722720.000	2.328	32.106
5834737720.000	2.329	31.852
5834752720.000	2.328	31.601
5834767720.000	2.330	31.338
5834782720.000	2.331	31.095
5834797720.000	2.330	30.842
5834812720.000	2.330	30.592
5834827720.000	2.331	30.337
5834842720.000	2.331	30.075
5834857720.000	2.332	29.828
5834872720.000	2.331	29.579
5834887720.000	2.333	29.341
5834902720.000	2.333	29.094
5834917720.000	2.334	28.835
5834932720.000	2.335	28.575
5834947720.000	2.333	28.314
5834962720.000	2.333	28.082
5834977720.000	2.333	27.825
5834992720.000	2.334	27.567
5835007720.000	2.336	27.315
5835022720.000	2.334	27.077
5835037720.000	2.337	26.824
5835052720.000	2.337	26.565
5835067720.000	2.336	26.313
5835082720.000	2.336	26.071
5835097720.000	2.338	25.819
5835112720.000	2.337	25.568
5835127720.000	2.338	25.312
5835142720.000	2.338	25.070
5835157720.000	2.336	24.824
5835172720.000	2.339	24.561
5835187720.000	2.341	24.320
5835202720.000	2.338	24.077
5835217720.000	2.339	23.817
5835232720.000	2.341	23.580
5835247720.000	2.341	23.325
5835262720.000	2.343	23.066
5835277720.000	2.341	22.815
5835292720.000	2.340	22.571
5835307720.000	2.342	22.327
5835322720.000	2.341	22.072
5835337720.000	2.343	21.813
5835352720.000	2.342	21.562
5835367720.000	2.343	21.320
5835382720.000	2.343	21.062
5835397720.000	2.341	20.817
5835412720.000	2.344	20.576
